"","receptor","pathway","tf","tf_PPR","category"
"1","IL12RB1","Cytokine Signaling in Immune system","AKT1",0.00128513929882087,"Immune System"
"2","IL12RB1","Cytokine Signaling in Immune system","ATF1",0.00048065638980778,"Immune System"
"3","IL12RB1","Cytokine Signaling in Immune system","ATF2",0.00202984050792349,"Immune System"
"4","IL12RB1","Cytokine Signaling in Immune system","BCL6",0.00128513929882087,"Immune System"
"5","IL12RB1","Cytokine Signaling in Immune system","CCND1",0.00128513929882087,"Immune System"
"6","IL12RB1","Cytokine Signaling in Immune system","CDKN1A",0.00128513929882087,"Immune System"
"7","IL12RB1","Cytokine Signaling in Immune system","CEBPD",0.00128513929882087,"Immune System"
"8","IL12RB1","Cytokine Signaling in Immune system","CIITA",0.000165789232806257,"Immune System"
"9","IL12RB1","Cytokine Signaling in Immune system","CREB1",0.00125928892988176,"Immune System"
"10","IL12RB1","Cytokine Signaling in Immune system","EGR1",0.000211506412745249,"Immune System"
"11","IL12RB1","Cytokine Signaling in Immune system","EIF2AK2",0.000408586299456444,"Immune System"
"12","IL12RB1","Cytokine Signaling in Immune system","ELK1",0.000586218543102132,"Immune System"
"13","IL12RB1","Cytokine Signaling in Immune system","FOS",0.00175925129084043,"Immune System"
"14","IL12RB1","Cytokine Signaling in Immune system","FOXO1",0.00128513929882087,"Immune System"
"15","IL12RB1","Cytokine Signaling in Immune system","FOXO3",0.0024727982712388,"Immune System"
"16","IL12RB1","Cytokine Signaling in Immune system","HIF1A",0.00128513929882087,"Immune System"
"17","IL12RB1","Cytokine Signaling in Immune system","IFNB1",0.000185768034297506,"Immune System"
"18","IL12RB1","Cytokine Signaling in Immune system","IFNG",0.000233413318507601,"Immune System"
"19","IL12RB1","Cytokine Signaling in Immune system","IKBKB",0.000696713886328535,"Immune System"
"20","IL12RB1","Cytokine Signaling in Immune system","IKBKG",0.000396307084674582,"Immune System"
"21","IL12RB1","Cytokine Signaling in Immune system","IL1B",0.00108414955564892,"Immune System"
"22","IL12RB1","Cytokine Signaling in Immune system","IL2",0.000143857822723595,"Immune System"
"23","IL12RB1","Cytokine Signaling in Immune system","IL4",0.000864038982890729,"Immune System"
"24","IL12RB1","Cytokine Signaling in Immune system","IL6",0.000394762449654518,"Immune System"
"25","IL12RB1","Cytokine Signaling in Immune system","IRF1",0.000211506412745249,"Immune System"
"26","IL12RB1","Cytokine Signaling in Immune system","IRF3",0.00158624910440537,"Immune System"
"27","IL12RB1","Cytokine Signaling in Immune system","IRF5",0.000211506412745249,"Immune System"
"28","IL12RB1","Cytokine Signaling in Immune system","IRF6",0.000211506412745249,"Immune System"
"29","IL12RB1","Cytokine Signaling in Immune system","IRF7",0.000211506412745249,"Immune System"
"30","IL12RB1","Cytokine Signaling in Immune system","IRF9",0.00030701267544016,"Immune System"
"31","IL12RB1","Cytokine Signaling in Immune system","JUN",0.00202984050792349,"Immune System"
"32","IL12RB1","Cytokine Signaling in Immune system","JUNB",0.00128513929882087,"Immune System"
"33","IL12RB1","Cytokine Signaling in Immune system","MAPK1",0.00138645142566943,"Immune System"
"34","IL12RB1","Cytokine Signaling in Immune system","MAPK10",0.000642489563257857,"Immune System"
"35","IL12RB1","Cytokine Signaling in Immune system","MAPK11",0.000588680797871942,"Immune System"
"36","IL12RB1","Cytokine Signaling in Immune system","MAPK14",0.000733472369262154,"Immune System"
"37","IL12RB1","Cytokine Signaling in Immune system","MAPK3",0.0016829311740406,"Immune System"
"38","IL12RB1","Cytokine Signaling in Immune system","MAPK8",0.000725350927101394,"Immune System"
"39","IL12RB1","Cytokine Signaling in Immune system","MAPK9",0.000642489563257857,"Immune System"
"40","IL12RB1","Cytokine Signaling in Immune system","MYC",0.00128513929882087,"Immune System"
"41","IL12RB1","Cytokine Signaling in Immune system","NFKB1",0.00292463185149823,"Immune System"
"42","IL12RB1","Cytokine Signaling in Immune system","NFKB2",0.00288173655689932,"Immune System"
"43","IL12RB1","Cytokine Signaling in Immune system","NFKBIA",0.000217895924311713,"Immune System"
"44","IL12RB1","Cytokine Signaling in Immune system","NFKBIB",0.000861631934429548,"Immune System"
"45","IL12RB1","Cytokine Signaling in Immune system","PIAS1",0.000165789232806231,"Immune System"
"46","IL12RB1","Cytokine Signaling in Immune system","PML",0.000165789232806257,"Immune System"
"47","IL12RB1","Cytokine Signaling in Immune system","POU2F1",0.00128513929882087,"Immune System"
"48","IL12RB1","Cytokine Signaling in Immune system","PSMD9",0.00463779931907187,"Immune System"
"49","IL12RB1","Cytokine Signaling in Immune system","RELA",0.00329082542362795,"Immune System"
"50","IL12RB1","Cytokine Signaling in Immune system","RELB",0.00026979172793102,"Immune System"
"51","IL12RB1","Cytokine Signaling in Immune system","RORA",0.00128513929882087,"Immune System"
"52","IL12RB1","Cytokine Signaling in Immune system","RORC",0.00128513929882087,"Immune System"
"53","IL12RB1","Cytokine Signaling in Immune system","SOS1",0.00101683474952275,"Immune System"
"54","IL12RB1","Cytokine Signaling in Immune system","SOS2",0.00321763265540965,"Immune System"
"55","IL12RB1","Cytokine Signaling in Immune system","SOX2",0.00128513929882087,"Immune System"
"56","IL12RB1","Cytokine Signaling in Immune system","STAT1",0.000165789232806231,"Immune System"
"57","IL12RB1","Cytokine Signaling in Immune system","STAT2",0.000318554407581306,"Immune System"
"58","IL12RB1","Cytokine Signaling in Immune system","STAT3",0.00128513929882071,"Immune System"
"59","IL12RB1","Cytokine Signaling in Immune system","STAT4",0.025217529743916,"Immune System"
"60","IL12RB1","Cytokine Signaling in Immune system","TGFB1",0.00128513929882087,"Immune System"
"61","IL12RB1","Cytokine Signaling in Immune system","TNF",0.000552447626502962,"Immune System"
"62","IL12RB1","Cytokine Signaling in Immune system","TNFSF12",0.00026979172793102,"Immune System"
"63","IL12RB1","Cytokine Signaling in Immune system","TP53",0.00128513929882087,"Immune System"
"64","IL12RB1","Cytokine Signaling in Immune system","TRIM25",0.000442234620325189,"Immune System"
"65","IL12RB1","Cytokine Signaling in Immune system","TWIST1",0.00128513929882087,"Immune System"
"66","IL12RB1","Cytokine Signaling in Immune system","ZEB1",0.00128513929882087,"Immune System"
"67","IL12RB1","Cytokine Signaling in Immune system","AIP",0.00368458993147067,"Immune System"
"68","IL12RB1","Cytokine Signaling in Immune system","BATF",0.00128513929882087,"Immune System"
"69","IL12RB1","Cytokine Signaling in Immune system","IRF2",0.000211506412745249,"Immune System"
"70","IL12RB1","Cytokine Signaling in Immune system","IRF4",0.00138453916048354,"Immune System"
"71","IL12RB1","Cytokine Signaling in Immune system","IRF8",0.000211506412745249,"Immune System"
"72","IL12RB1","Cytokine Signaling in Immune system","NANOG",0.00128513929882087,"Immune System"
"73","IL12RB1","Cytokine Signaling in Immune system","SLA2",0.000536978521979458,"Immune System"
"74","IL12RB1","Cytokine Signaling in Immune system","SP100",0.000165789232806257,"Immune System"
"75","IL12RB1","Cytokine Signaling in Immune system","TRAF6",0.000875025348088423,"Immune System"
"76","IL12RB1","Cytokine Signaling in Immune system","TRIM22",0.000165789232806257,"Immune System"
"77","CRLF1","Cytokine Signaling in Immune system","AKT1",0.000263050954124736,"Immune System"
"78","CRLF1","Cytokine Signaling in Immune system","ATF1",0.000310110435441741,"Immune System"
"79","CRLF1","Cytokine Signaling in Immune system","ATF2",0.00121296918039941,"Immune System"
"80","CRLF1","Cytokine Signaling in Immune system","BCL6",0.000263050954124736,"Immune System"
"81","CRLF1","Cytokine Signaling in Immune system","CCND1",0.000263050954124736,"Immune System"
"82","CRLF1","Cytokine Signaling in Immune system","CDKN1A",0.000263050954124736,"Immune System"
"83","CRLF1","Cytokine Signaling in Immune system","CEBPD",0.000263050954124736,"Immune System"
"84","CRLF1","Cytokine Signaling in Immune system","CIITA",0.000109521656042831,"Immune System"
"85","CRLF1","Cytokine Signaling in Immune system","CREB1",0.000838642014339473,"Immune System"
"86","CRLF1","Cytokine Signaling in Immune system","EGR1",0.000140048237863489,"Immune System"
"87","CRLF1","Cytokine Signaling in Immune system","EIF2AK2",0.000224649838505626,"Immune System"
"88","CRLF1","Cytokine Signaling in Immune system","ELK1",0.000456046519533518,"Immune System"
"89","CRLF1","Cytokine Signaling in Immune system","FOS",0.000663788161135089,"Immune System"
"90","CRLF1","Cytokine Signaling in Immune system","FOXO1",0.000263050954124736,"Immune System"
"91","CRLF1","Cytokine Signaling in Immune system","FOXO3",0.000533657180775451,"Immune System"
"92","CRLF1","Cytokine Signaling in Immune system","HIF1A",0.000263050954124736,"Immune System"
"93","CRLF1","Cytokine Signaling in Immune system","IFNB1",0.000126006949635994,"Immune System"
"94","CRLF1","Cytokine Signaling in Immune system","IFNG",0.000149513407458339,"Immune System"
"95","CRLF1","Cytokine Signaling in Immune system","IKBKB",0.000377429191420756,"Immune System"
"96","CRLF1","Cytokine Signaling in Immune system","IKBKG",0.000219873202800332,"Immune System"
"97","CRLF1","Cytokine Signaling in Immune system","IL1B",0.000712621513247865,"Immune System"
"98","CRLF1","Cytokine Signaling in Immune system","IL2",7.27862138804136e-05,"Immune System"
"99","CRLF1","Cytokine Signaling in Immune system","IL4",0.000909469115930019,"Immune System"
"100","CRLF1","Cytokine Signaling in Immune system","IL6",0.000297368690022671,"Immune System"
"101","CRLF1","Cytokine Signaling in Immune system","IRF1",0.000140048237863489,"Immune System"
"102","CRLF1","Cytokine Signaling in Immune system","IRF3",0.000859416893551716,"Immune System"
"103","CRLF1","Cytokine Signaling in Immune system","IRF5",0.000140048237863489,"Immune System"
"104","CRLF1","Cytokine Signaling in Immune system","IRF6",0.000140048237863489,"Immune System"
"105","CRLF1","Cytokine Signaling in Immune system","IRF7",0.000140048237863489,"Immune System"
"106","CRLF1","Cytokine Signaling in Immune system","IRF9",0.000203287378567272,"Immune System"
"107","CRLF1","Cytokine Signaling in Immune system","JUN",0.00121296918039941,"Immune System"
"108","CRLF1","Cytokine Signaling in Immune system","JUNB",0.000263050954124736,"Immune System"
"109","CRLF1","Cytokine Signaling in Immune system","MAPK1",0.00120881486362514,"Immune System"
"110","CRLF1","Cytokine Signaling in Immune system","MAPK10",0.000340404970407375,"Immune System"
"111","CRLF1","Cytokine Signaling in Immune system","MAPK11",0.00029857612301723,"Immune System"
