"","receptor","pathway","tf","tf_PPR","category"
"1","Traf3","Cytokine Signaling in Immune system","Atf1",0.00103810621171914,"Immune System"
"2","Traf3","Cytokine Signaling in Immune system","Atf2",0.00368301784184834,"Immune System"
"3","Traf3","Cytokine Signaling in Immune system","Creb1",0.00275152329665718,"Immune System"
"4","Traf3","Cytokine Signaling in Immune system","Fos",0.000924996359534368,"Immune System"
"5","Traf3","Cytokine Signaling in Immune system","Jun",0.000924996359534368,"Immune System"
"6","Traf3","Cytokine Signaling in Immune system","Mapk1",0.00146337345405637,"Immune System"
"7","Traf3","Cytokine Signaling in Immune system","Nfkb1",0.0163387241684066,"Immune System"
"8","Traf3","Cytokine Signaling in Immune system","Nfkb2",0.00469149602027885,"Immune System"
"9","Traf3","Cytokine Signaling in Immune system","Rela",0.0158498245496238,"Immune System"
"10","Traf3","Cytokine Signaling in Immune system","Relb",0.016524080436465,"Immune System"
"11","Traf3","Cytokine Signaling in Immune system","Sos1",0.000840626793754731,"Immune System"
"12","Traf3","Cytokine Signaling in Immune system","Sos2",0.00511799810610014,"Immune System"
"13","Traf3","Cytokine Signaling in Immune system","Stat3",0.00273653539187181,"Immune System"
"14","Traf3","Cytokine Signaling in Immune system","Stat4",0.00110163841523531,"Immune System"
"15","Traf3","Cytokine Signaling in Immune system","Stat5a",0.000584434999426329,"Immune System"
"16","Traf3","Cytokine Signaling in Immune system","Stat5b",0.000584434999426329,"Immune System"
"17","Traf3","Cytokine Signaling in Immune system","Tnf",0.00544390784462812,"Immune System"
"18","Traf3","Cytokine Signaling in Immune system","Ctf1",0.00175995881266918,"Immune System"
"19","Traf3","Cytokine Signaling in Immune system","Il4",0.000828327743485177,"Immune System"
"20","Traf3","Cytokine Signaling in Immune system","Rps6ka5",0.00172951428272643,"Immune System"
"21","Traf3","Cytokine Signaling in Immune system","Sla2",0.0016192821973804,"Immune System"
"22","Traf3","Cytokine Signaling in Immune system","Nfkbib",0.00469149602027885,"Immune System"
"23","Cntfr","Cytokine Signaling in Immune system","Atf1",0.000345041512686872,"Immune System"
"24","Cntfr","Cytokine Signaling in Immune system","Atf2",0.000967777338663837,"Immune System"
"25","Cntfr","Cytokine Signaling in Immune system","Creb1",0.00098952268737789,"Immune System"
